"Localidade","IBGE","nota_2015","meta_2015"
"Nova Lima",3144805,6.4,6.4
"Nova Módica",3144904,5.7,5.1
"Nova Ponte",3145000,7.3,6.1
"Nova Porteirinha",3145059,5.5,4.9
"Nova Resende",3145109,6.7,6
"Nova Serrana",3145208,6.4,5.8
"Novo Cruzeiro",3145307,5.7,4.7
"Novo Oriente de Minas",3145356,5.8,4.5
"Novorizonte",3145372,5.7,6.4
"Olaria",3145406,5.8,5.8
"Olhos-d'Água",3145455,6.1,5
"Olímpio Noronha",3145505,6.1,5.9
"Oliveira",3145604,6.3,6
"Oliveira Fortes",3145703,6,5.4
"Onça de Pitangui",3145802,0,5.6
"Oratórios",3145851,4.6,4.8
"Orizânia",3145877,5.6,5.5
"Ouro Branco",3145901,6.3,6.1
"Ouro Fino",3146008,6.9,6.1
"Ouro Preto",3146107,6.1,5.7
"Ouro Verde de Minas",3146206,5.5,4.5
"Padre Carvalho",3146255,4.9,4.3
"Padre Paraíso",3146305,5.7,4.8
"Paineiras",3146404,6.6,5.9
"Pains",3146503,7.5,6.6
"Pai Pedro",3146552,6.1,5.6
"Paiva",3146602,0,5.1
"Palma",3146701,5.6,4.6
"Palmópolis",3146750,5.1,4.8
"Papagaios",3146909,6.2,5.6
"Paracatu",3147006,6.1,5.8
"Pará de Minas",3147105,6.6,6.3
"Paraguaçu",3147204,6.3,6
"Paraisópolis",3147303,6.9,6
"Paraopeba",3147402,6.3,5.4
"Passabém",3147501,0,5.4
"Passa Quatro",3147600,6.7,6
"Passa Tempo",3147709,7.6,6.2
"Passa-Vinte",3147808,5.8,4.8
"Passos",3147907,6.7,6.3
"Patis",3147956,5.5,4.4
"Patos de Minas",3148004,7,6.5
"Patrocínio",3148103,6.5,5.7
"Patrocínio do Muriaé",3148202,5.2,5.9
"Paula Cândido",3148301,6.2,5.2
"Paulistas",3148400,5.4,5.2
"Pavão",3148509,5.8,5.1
"Peçanha",3148608,6.1,5.5
"Pedra Azul",3148707,5.3,4.8
"Pedra Bonita",3148756,5.2,5.2
"Pedra do Anta",3148806,6.3,5.3
"Pedra do Indaiá",3148905,6.7,6
"Pedra Dourada",3149002,6.3,5.6
"Pedralva",3149101,6.2,5.3
"Pedras de Maria da Cruz",3149150,5.8,4.7
"Pedrinópolis",3149200,5.4,5
"Pedro Leopoldo",3149309,6.2,5.7
"Pedro Teixeira",3149408,5.6,5.6
"Pequeri",3149507,5.5,5.4
"Pequi",3149606,5.9,5.2
"Perdigão",3149705,6.6,5.9
"Perdizes",3149804,6.9,5.8
"Perdões",3149903,6.5,5.8
"Periquito",3149952,5,4.6
"Pescador",3150000,5.4,5
"Piau",3150109,5.6,4.8
"Piedade de Caratinga",3150158,5.9,5.1
"Piedade de Ponte Nova",3150208,5.1,4.8
"Piedade do Rio Grande",3150307,6.2,5.9
"Piedade dos Gerais",3150406,0,5.5
"Pimenta",3150505,6.7,6.1
"Pingo-d'Água",3150539,6.5,5.5
"Pintópolis",3150570,5.3,4.9
"Piracema",3150604,7.2,5.5
"Pirajuba",3150703,5.1,5.7
"Piranga",3150802,6.7,5.8
"Piranguçu",3150901,6.3,5.3
"Piranguinho",3151008,6.1,4.4
"Pirapetinga",3151107,6.3,5.3
"Pirapora",3151206,5.9,5.3
"Piraúba",3151305,6.3,5.8
"Pitangui",3151404,6.4,5.9
"Piumhi",3151503,7,6.3
"Planura",3151602,5.6,5.1
"Poço Fundo",3151701,6.7,5.9
"Poços de Caldas",3151800,6.1,5.9
"Pocrane",3151909,6.3,5.9
"Pompéu",3152006,6.5,5.5
"Ponte Nova",3152105,5.9,5.2
"Ponto Chique",3152131,5.4,4.5
"Ponto dos Volantes",3152170,5.4,5
"Porteirinha",3152204,6.2,5.8
"Porto Firme",3152303,6.6,5.9
"Poté",3152402,5.1,5.1
"Pouso Alegre",3152501,6.2,6.2
"Pouso Alto",3152600,6.8,5.6
"Prados",3152709,6.2,6.1
"Prata",3152808,5.6,5.4
"Pratápolis",3152907,6.4,5.7
"Pratinha",3153004,6.3,6
"Presidente Bernardes",3153103,6.4,5.9
"Presidente Juscelino",3153202,6.4,5.6
"Presidente Kubitschek",3153301,5.5,5.8
"Presidente Olegário",3153400,7.1,6.6
"Alto Jequitibá",3153509,6,5.7
"Prudente de Morais",3153608,5.7,6
"Quartel Geral",3153707,6.4,5.5
"Queluzito",3153806,0,6.2
"Raposos",3153905,5.7,5.7
"Raul Soares",3154002,6.2,5.7
"Recreio",3154101,6.1,5.2
"Reduto",3154150,5.8,5.3
"Resende Costa",3154200,7.2,5.9
"Resplendor",3154309,5.8,5
"Ressaquinha",3154408,6.5,5.7
"Riachinho",3154457,5.9,5.5
"Riacho dos Machados",3154507,6.5,5.4
"Ribeirão das Neves",3154606,5.7,5.5
"Ribeirão Vermelho",3154705,6,5.9
"Rio Acima",3154804,6,5.8
"Rio Casca",3154903,5.3,5.7
"Rio Doce",3155009,6.6,5.5
"Rio do Prado",3155108,6.1,4.8
"Rio Espera",3155207,6.6,5.8
"Rio Manso",3155306,0,5.6
"Rio Novo",3155405,5.9,5.6
"Rio Paranaíba",3155504,7,6.4
"Rio Pardo de Minas",3155603,5.9,5.1
"Rio Piracicaba",3155702,6.7,5.9
"Rio Pomba",3155801,6.1,6
"Rio Preto",3155900,5.6,5.6
"Rio Vermelho",3156007,5.2,4.9
"Ritápolis",3156106,6.2,6
"Rochedo de Minas",3156205,5,4.9
"Rodeiro",3156304,6.4,6
"Romaria",3156403,5.8,4.3
"Rosário da Limeira",3156452,6.6,5.3
"Rubelita",3156502,6.5,5
"Rubim",3156601,5.3,4.9
"Sabará",3156700,5.7,5.6
"Sabinópolis",3156809,6.1,5.2
"Sacramento",3156908,6.3,6
"Salinas",3157005,6.4,5.4
"Salto da Divisa",3157104,5.1,4.8
"Santa Bárbara",3157203,6.4,5.2
"Santa Bárbara do Leste",3157252,6.4,5.3
"Santa Bárbara do Monte Verde",3157278,4.9,4.9
"Santa Bárbara do Tugúrio",3157302,6.5,5.6
"Santa Cruz de Minas",3157336,4.7,5.1
"Santa Cruz de Salinas",3157377,6.1,5
"Santa Cruz do Escalvado",3157401,0,5.1
"Santa Efigênia de Minas",3157500,6.1,4.8
"Santa Fé de Minas",3157609,5.8,4.4
"Santa Helena de Minas",3157658,6,4.7
"Santa Juliana",3157708,5.8,5.7
"Santa Luzia",3157807,5.7,5.6
"Santa Margarida",3157906,5.6,4.8
"Santa Maria de Itabira",3158003,6.3,5.5
"Santa Maria do Salto",3158102,5.3,5.3
"Santa Maria do Suaçuí",3158201,6.6,5.4
"Santana da Vargem",3158300,6.7,6.1
"Santana de Cataguases",3158409,6.5,5.6
"Santana de Pirapama",3158508,5.6,5.1
"Santana do Deserto",3158607,5.4,5.1
"Santana do Garambéu",3158706,5.7,5.5
"Santana do Jacaré",3158805,6.5,5.8
"Santana do Manhuaçu",3158904,6,5.5
"Santana do Paraíso",3158953,6.1,5
"Santana do Riacho",3159001,5.7,5.3
"Santana dos Montes",3159100,5.9,5
"Santa Rita de Caldas",3159209,6.9,6.8
"Santa Rita de Jacutinga",3159308,6.1,5.2
"Santa Rita de Minas",3159357,5.9,5.6
"Santa Rita de Ibitipoca",3159407,0,5.5
"Santa Rita do Itueto",3159506,6.2,5.1
"Santa Rita do Sapucaí",3159605,6.4,5.9
"Santa Rosa da Serra",3159704,0,6.4
"Santa Vitória",3159803,6.6,5.4
"Santo Antônio do Amparo",3159902,5.9,5.1
"Santo Antônio do Aventureiro",3160009,6.2,5.9
"Santo Antônio do Grama",3160108,5.5,5.3
"Santo Antônio do Itambé",3160207,5.4,5.2
"Santo Antônio do Jacinto",3160306,4.9,4.9
"Santo Antônio do Monte",3160405,7,6.1
"Santo Antônio do Retiro",3160454,5.7,4.4
"Santo Antônio do Rio Abaixo",3160504,6.5,4.4
"Santo Hipólito",3160603,5.8,5.1
"Santos Dumont",3160702,5.9,5.8
"São Bento Abade",3160801,5.8,4.3
"São Brás do Suaçuí",3160900,7.2,6.7
"São Domingos das Dores",3160959,7.5,5.2
"São Domingos do Prata",3161007,7.3,6
"São Félix de Minas",3161056,5.8,5.4
"São Francisco",3161106,5.4,4.7
"São Francisco de Paula",3161205,6.3,4.7
"São Francisco de Sales",3161304,5.1,4.6
"São Francisco do Glória",3161403,5.9,5.3
"São Geraldo",3161502,6.3,5.7
"São Geraldo da Piedade",3161601,6.6,4.3
"São Geraldo do Baixio",3161650,5.4,4.9
"São Gonçalo do Abaeté",3161700,6.2,6.4
"São Gonçalo do Pará",3161809,7,6
"São Gonçalo do Rio Abaixo",3161908,6.9,6
"São Gonçalo do Sapucaí",3162005,6.1,4.9
"São Gotardo",3162104,6.7,6.2
"São João Batista do Glória",3162203,7,6.9
"São João da Lagoa",3162252,6.6,5.5
"São João da Mata",3162302,6.6,6
"São João da Ponte",3162401,5.6,3.6
"São João das Missões",3162450,4.7,4.4
"São João del Rei",3162500,6.6,6.2
"São João do Manhuaçu",3162559,5.9,5.3
"São João do Manteninha",3162575,6.8,5.6
"São João do Oriente",3162609,5.5,5.8
"São João do Pacuí",3162658,6,4
"São João do Paraíso",3162708,6.4,5
"São João Evangelista",3162807,6.2,5.3
"São João Nepomuceno",3162906,6.3,6.3
"São Joaquim de Bicas",3162922,5.8,5.6
"São José da Barra",3162948,7.9,5.9
"São José da Lapa",3162955,5.6,6.1
"São José da Safira",3163003,5,4.4
"São José da Varginha",3163102,6,6.3
"São José do Alegre",3163201,6.6,5.5
"São José do Divino",3163300,5.4,4.7
"São José do Goiabal",3163409,5.9,5.7
"São José do Jacuri",3163508,6.1,5.5
"São José do Mantimento",3163607,6.8,4.5
"São Lourenço",3163706,6.8,5.6
"São Miguel do Anta",3163805,5.9,5.4
"São Pedro da União",3163904,7.6,6.1
"São Pedro dos Ferros",3164001,5.5,5.5
"São Pedro do Suaçuí",3164100,6.4,5.6
"São Romão",3164209,5.7,4.3
"São Roque de Minas",3164308,6.5,6.5
"São Sebastião da Bela Vista",3164407,6.2,5.6
"São Sebastião da Vargem Alegre",3164431,6.5,6
"São Sebastião do Anta",3164472,6,5
"São Sebastião do Maranhão",3164506,5.7,5.1
"São Sebastião do Oeste",3164605,5.5,5.6
"São Sebastião do Paraíso",3164704,6.9,6.1
"São Sebastião do Rio Preto",3164803,6.5,4.6
"São Sebastião do Rio Verde",3164902,6.6,6.4
"São Tiago",3165008,7,5.8
"São Tomás de Aquino",3165107,6.5,6.2
"São Thomé das Letras",3165206,5.6,5
"São Vicente de Minas",3165305,6.9,6.3
"Sapucaí-Mirim",3165404,5.7,5.9
"Sardoá",3165503,5.6,4.7
"Sarzedo",3165537,6.7,5.8
"Setubinha",3165552,6.6,4.8
"Sem-Peixe",3165560,6.3,5.3
"Senador Amaral",3165578,5.8,5.5
"Senador Cortes",3165602,5.1,4.7
"Senador Firmino",3165701,6.7,6.5
"Senador José Bento",3165800,5.7,5.4
"Senador Modestino Gonçalves",3165909,6.3,5.5
"Senhora de Oliveira",3166006,0,6.4
"Senhora do Porto",3166105,5.4,4.6
"Senhora dos Remédios",3166204,6.4,5.6
"Sericita",3166303,5.4,5
"Seritinga",3166402,7.1,6.1
"Serra Azul de Minas",3166501,4.7,4.6
"Serra da Saudade",3166600,0,5.6
"Serra dos Aimorés",3166709,5.4,4.9
"Serra do Salitre",3166808,6.5,5.8
"Serrania",3166907,6.4,5.3
"Serranópolis de Minas",3166956,6.2,5.5
"Serranos",3167004,0,5
"Serro",3167103,5.5,5.3
"Sete Lagoas",3167202,6.3,6
"Silveirânia",3167301,6.2,6.5
"Silvianópolis",3167400,6,5.2
"Simão Pereira",3167509,4.7,5.6
"Simonésia",3167608,5.6,5
"Sobrália",3167707,6,5.1
"Soledade de Minas",3167806,6.9,6.1
"Tabuleiro",3167905,4.6,6.1
"Taiobeiras",3168002,6.6,6.1
"Taparuba",3168051,5.1,5.2
"Tapira",3168101,6.4,5.5
"Tapiraí",3168200,0,5.3
"Taquaraçu de Minas",3168309,5.3,5.9
"Tarumirim",3168408,6.1,5.3
"Teixeiras",3168507,5.8,5.5
"Teófilo Otoni",3168606,5.8,5.4
"Timóteo",3168705,6.5,6.4
"Tiradentes",3168804,5.9,5.5
"Tiros",3168903,6,6.5
"Tocantins",3169000,6.3,6.2
"Tocos do Moji",3169059,0,6.1
"Toledo",3169109,6,5.2
"Tombos",3169208,5.8,5.3
"Três Corações",3169307,6.4,5.9
"Três Marias",3169356,6.5,5.9
"Três Pontas",3169406,6.7,6.3
"Tumiritinga",3169505,5.4,4.2
"Tupaciguara",3169604,5.9,5.3
"Turmalina",3169703,7,5.8
"Turvolândia",3169802,5.6,5.5
"Ubá",3169901,6.8,6
"Ubaí",3170008,5.3,4.8
"Ubaporanga",3170057,6.3,5.9
"Uberaba",3170107,5.9,5.8
"Uberlândia",3170206,6,5.8
"Umburatiba",3170305,5.2,4.7
"Unaí",3170404,6.1,5.8
"União de Minas",3170438,5.1,4.2
"Uruana de Minas",3170479,5.9,5.5
"Urucânia",3170503,5.3,4.8
"Urucuia",3170529,5.7,5.1
"Vargem Alegre",3170578,5.8,5.4
"Vargem Bonita",3170602,0,6.4
"Vargem Grande do Rio Pardo",3170651,5.8,4.7
"Varginha",3170701,6.2,5.8
"Varjão de Minas",3170750,6.2,5.6
"Várzea da Palma",3170800,5.8,5.6
"Varzelândia",3170909,6.7,5
"Vazante",3171006,6.6,6
"Verdelândia",3171030,4.8,4.7
"Veredinha",3171071,6.8,5.5
"Veríssimo",3171105,5.1,4.6
"Vermelho Novo",3171154,5.8,5.1
"Vespasiano",3171204,5.6,5.6
"Viçosa",3171303,6,5.6
"Vieiras",3171402,6.7,5.5
"Mathias Lobato",3171501,5.3,4.5
"Virgem da Lapa",3171600,6.1,5.7
"Virgínia",3171709,6.4,5.6
"Virginópolis",3171808,6.1,5.7
"Virgolândia",3171907,6.3,5.1
"Visconde do Rio Branco",3172004,6.4,5.8
"Volta Grande",3172103,6.1,5.3
"Wenceslau Braz",3172202,6.3,6.3
"Afonso Cláudio",3200102,5.8,5.6
"Águia Branca",3200136,6.5,5.4
"Água Doce do Norte",3200169,6.2,4.9
"Alegre",3200201,5.5,4.9
"Alfredo Chaves",3200300,6.1,6
"Alto Rio Novo",3200359,5.6,5.1
"Anchieta",3200409,5.5,5.5
"Apiacá",3200508,4.6,4.5
"Aracruz",3200607,6,5.9
"Atilio Vivacqua",3200706,5.2,5.3
"Baixo Guandu",3200805,5.5,5.3
"Barra de São Francisco",3200904,5.6,5.1
"Boa Esperança",3201001,5.5,4.4
"Bom Jesus do Norte",3201100,4.5,5.2
"Brejetuba",3201159,5.7,5.8
"Cachoeiro de Itapemirim",3201209,5.4,5.2
"Cariacica",3201308,5.3,5.2
"Castelo",3201407,6.1,6
"Colatina",3201506,5.8,5.7
"Conceição da Barra",3201605,5.5,4.8
"Conceição do Castelo",3201704,5.9,5.1
"Divino de São Lourenço",3201803,5,5
"Domingos Martins",3201902,6.9,6
"Dores do Rio Preto",3202009,5.3,5
"Ecoporanga",3202108,6,5
"Fundão",3202207,5.4,5.6
"Governador Lindenberg",3202256,6.4,5.9
"Guaçuí",3202306,4.9,5
"Guarapari",3202405,5.4,5.2
"Ibatiba",3202454,5,5.1
"Ibiraçu",3202504,5.9,5.4
"Ibitirama",3202553,4.1,4.9
"Iconha",3202603,6.3,5.9
"Irupi",3202652,5.7,4.9
"Itaguaçu",3202702,6.5,6.3
"Itapemirim",3202801,5.1,4.8
"Itarana",3202900,5.9,6
"Iúna",3203007,5.5,4.9
"Jaguaré",3203056,5.5,5.3
"Jerônimo Monteiro",3203106,5.5,5.1
"João Neiva",3203130,5.8,5.6
"Laranja da Terra",3203163,0,5.6
"Linhares",3203205,5.5,5.3
"Mantenópolis",3203304,6.1,4.9
"Marataízes",3203320,5.1,5.1
"Marechal Floriano",3203346,6.3,5.8
"Marilândia",3203353,6.3,6
"Mimoso do Sul",3203403,5.5,5
"Montanha",3203502,5.3,4.6
"Mucurici",3203601,5.4,4.3
"Muniz Freire",3203700,5.7,5.1
"Muqui",3203809,5.7,4.9
"Nova Venécia",3203908,6,5.5
"Pancas",3204005,6,5.5
"Pedro Canário",3204054,5.5,4.8
"Pinheiros",3204104,5.7,5.1
"Piúma",3204203,5,5.4
"Ponto Belo",3204252,5,4.7
"Presidente Kennedy",3204302,6.4,4.5
"Rio Bananal",3204351,5.5,5.7
"Rio Novo do Sul",3204401,5.6,5.5
"Santa Leopoldina",3204500,5.7,5.2
"Santa Maria de Jetibá",3204559,6,5.2
"Santa Teresa",3204609,6.3,5.7
"São Domingos do Norte",3204658,5.7,5.5
"São Gabriel da Palha",3204708,6,5.4
"São José do Calçado",3204807,5.3,5.3
"São Mateus",3204906,5.6,5.2
"São Roque do Canaã",3204955,5.9,5.6
"Serra",3205002,5.3,4.9
"Sooretama",3205010,4.9,5.1
"Vargem Alta",3205036,6.3,5.2
"Venda Nova do Imigrante",3205069,6,5.9
"Viana",3205101,5.2,5
"Vila Pavão",3205150,5.8,5.6
"Vila Valério",3205176,6,5.3
"Vila Velha",3205200,5.3,5.4
"Vitória",3205309,5.6,5.4
"Angra dos Reis",3300100,4.9,5
"Aperibé",3300159,5.3,6.4
"Araruama",3300209,4.9,5.3
"Areal",3300225,5.1,5.1
"Armação dos Búzios",3300233,5.3,5.2
"Arraial do Cabo",3300258,4.6,5.3
"Barra do Piraí",3300308,4.8,5.4
"Barra Mansa",3300407,5.4,5.9
"Belford Roxo",3300456,4.1,4.8
"Bom Jardim",3300506,5.2,5.4
"Bom Jesus do Itabapoana",3300605,5.6,5.6
"Cabo Frio",3300704,4.9,5.2
"Cachoeiras de Macacu",3300803,4.6,5.4
"Cambuci",3300902,4.9,5.7
"Carapebus",3300936,4.9,4.8
"Comendador Levy Gasparian",3300951,6.5,5.5
"Campos dos Goytacazes",3301009,5,4.5
"Cantagalo",3301108,5,5.1
"Cardoso Moreira",3301157,4.9,4.9
"Carmo",3301207,5.5,5.4
"Casimiro de Abreu",3301306,5.7,5.6
"Conceição de Macabu",3301405,4.7,5.1
"Cordeiro",3301504,5.4,5.8
"Duas Barras",3301603,5.2,5.4
"Duque de Caxias",3301702,4.5,4.7
"Engenheiro Paulo de Frontin",3301801,5.3,5.7
"Guapimirim",3301850,5.1,4.4
"Iguaba Grande",3301876,5.8,4.9
"Itaboraí",3301900,4.6,5
"Itaguaí",3302007,4.6,4.8
"Italva",3302056,4.6,6
"Itaocara",3302106,5.4,6.1
"Itaperuna",3302205,5.5,6
"Itatiaia",3302254,5.4,4.9
"Japeri",3302270,4.4,4.5
"Laje do Muriaé",3302304,5,5.5
"Macaé",3302403,5.6,5.7
"Macuco",3302452,5.4,5.6
"Magé",3302502,4.5,4.7
"Mangaratiba",3302601,5.3,5.5
"Maricá",3302700,4.9,5.3
"Mendes",3302809,5.2,6.2
"Mesquita",3302858,4.8,5
"Miguel Pereira",3302908,5.8,6.1
"Miracema",3303005,6.2,5.9
"Natividade",3303104,4.8,6.4
"Nilópolis",3303203,4.6,4.6
"Niterói",3303302,5.1,5.3
"Nova Friburgo",3303401,5.8,6
"Nova Iguaçu",3303500,4.7,5
"Paracambi",3303609,5.3,4.8
"Paraíba do Sul",3303708,5.7,5.4
"Paraty",3303807,5.2,5.5
"Paty do Alferes",3303856,6.3,4.3
"Petrópolis",3303906,5.5,5.4
"Pinheiral",3303955,4.6,5.3
"Piraí",3304003,5.3,5.5
"Porciúncula",3304102,5,5.6
"Porto Real",3304110,5,5.2
"Quatis",3304128,5.1,5.4
"Queimados",3304144,4.4,5
"Quissamã",3304151,5,4.6
"Resende",3304201,5.5,5.5
"Rio Bonito",3304300,4.8,5.2
"Rio Claro",3304409,5.6,5.6
"Rio das Flores",3304508,5.3,5.3
"Rio das Ostras",3304524,6.1,5.5
"Rio de Janeiro",3304557,5.6,5.6
"Santa Maria Madalena",3304607,5.1,6.3
"Santo Antônio de Pádua",3304706,6.1,6
"São Francisco de Itabapoana",3304755,4.1,4.9
"São Fidélis",3304805,4.8,5.7
"São Gonçalo",3304904,4.3,5.1
"São João da Barra",3305000,5,4.9
"São João de Meriti",3305109,4.5,5
"São José de Ubá",3305133,5.9,6.5
"São José do Vale do Rio Preto",3305158,5.5,5.1
"São Pedro da Aldeia",3305208,4.7,5
"São Sebastião do Alto",3305307,4.4,8
"Sapucaia",3305406,4.9,5.5
"Saquarema",3305505,5.3,4.7
"Seropédica",3305554,4.5,4.5
"Silva Jardim",3305604,5,5.2
"Sumidouro",3305703,4.6,6.6
"Tanguá",3305752,4.7,4.6
"Teresópolis",3305802,5.6,5.2
"Trajano de Moraes",3305901,6.4,7.3
"Três Rios",3306008,5.5,5.4
"Valença",3306107,5,5.5
"Varre-Sai",3306156,5.3,6
"Vassouras",3306206,5,4.8
"Volta Redonda",3306305,5.9,6
"Adamantina",3500105,6.6,6.2
"Adolfo",3500204,6.2,6
"Aguaí",3500303,5.4,5.9
"Águas da Prata",3500402,5.8,5.9
"Águas de Lindóia",3500501,6.2,6.2
"Águas de Santa Bárbara",3500550,6.7,6.4
"Águas de São Pedro",3500600,7,6.1
"Agudos",3500709,6.2,5.6
"Alambari",3500758,6.2,5.6
"Alfredo Marcondes",3500808,7,5.4
"Altair",3500907,5.3,5.3
"Altinópolis",3501004,6.3,6.2
"Alto Alegre",3501103,6,5.9
"Alumínio",3501152,5.4,5.9
"Álvares Florence",3501202,6.2,6.1
"Álvares Machado",3501301,6.1,5.7
"Álvaro de Carvalho",3501400,5.7,5.6
"Alvinlândia",3501509,6.1,5.7
"Americana",3501608,6.8,6.4
"Américo Brasiliense",3501707,6.3,6.6
"Américo de Campos",3501806,5.6,6.2
"Amparo",3501905,6.8,5.9
"Analândia",3502002,6.2,6
"Andradina",3502101,6.3,6.1
"Angatuba",3502200,6.7,5.8
"Anhembi",3502309,5.8,5.6
"Anhumas",3502408,6.6,6.1
"Aparecida",3502507,6.2,5.8
"Aparecida d'Oeste",3502606,6.3,6.2
"Apiaí",3502705,6.2,5.9
"Araçariguama",3502754,5.8,5.6
"Araçatuba",3502804,6.4,6.4
"Araçoiaba da Serra",3502903,6,6.3
"Aramina",3503000,6,5.4
"Arandu",3503109,5.6,5.9
"Arapeí",3503158,5.7,4.9
"Araraquara",3503208,6.5,6.5
"Araras",3503307,6.8,6.4
"Arco-Íris",3503356,0,5.8
"Arealva",3503406,6.2,6.2
"Areias",3503505,5.4,5.4
"Areiópolis",3503604,5.9,5.5
"Ariranha",3503703,7.1,5.9
"Artur Nogueira",3503802,6.5,6.4
"Arujá",3503901,6,6.1
"Aspásia",3503950,0,6
"Assis",3504008,6.5,6
"Atibaia",3504107,7,6.4
"Auriflama",3504206,6.9,6.6
"Avaí",3504305,6,5.8
"Avanhandava",3504404,6.1,5.6
"Avaré",3504503,6.3,5.8
"Bady Bassitt",3504602,6.7,6.3
"Balbinos",3504701,0,5.9
"Bálsamo",3504800,6.4,6.3
"Bananal",3504909,5.6,5.4
"Barão de Antonina",3505005,6,6.4
"Barbosa",3505104,5.7,5.7
"Bariri",3505203,6.1,6.3
"Barra Bonita",3505302,6.7,6.5
"Barra do Chapéu",3505351,6,7.7
"Barra do Turvo",3505401,5.1,6
"Barretos",3505500,6.4,6.1
"Barrinha",3505609,5.9,7.4
"Barueri",3505708,6.3,5.8
"Bastos",3505807,6.4,6
"Batatais",3505906,6.3,6.3
"Bauru",3506003,6.2,6.2
"Bebedouro",3506102,6.2,6.1
"Bento de Abreu",3506201,0,7
"Bernardino de Campos",3506300,5.9,6
"Bertioga",3506359,5.8,5.3
"Bilac",3506409,7.7,6.9
"Birigui",3506508,7.1,6.6
"Biritiba-Mirim",3506607,5.7,5.5
"Boa Esperança do Sul",3506706,4.9,5.6
"Bocaina",3506805,6.2,5.9
"Bofete",3506904,5.5,5.6
"Boituva",3507001,6.7,6.1
"Bom Jesus dos Perdões",3507100,6.6,6.3
"Bom Sucesso de Itararé",3507159,6.2,5.3
"Borá",3507209,0,6.5
"Boracéia",3507308,5.9,5
"Borborema",3507407,6.1,6.7
"Borebi",3507456,6.5,5.5
"Botucatu",3507506,6.4,6.1
"Bragança Paulista",3507605,5.8,5.9
"Braúna",3507704,6.1,5.8
"Brejo Alegre",3507753,6.6,6.2
"Brodowski",3507803,6.1,6.1
"Brotas",3507902,6.6,6.1
"Buri",3508009,6.1,5.7
"Buritama",3508108,7.3,5.8
"Buritizal",3508207,5.9,5.9
"Cabrália Paulista",3508306,5.9,5.9
"Cabreúva",3508405,6.2,6.4
"Caçapava",3508504,6.2,5.9
"Cachoeira Paulista",3508603,5.1,5.5
"Caconde",3508702,6.5,5.8
"Cafelândia",3508801,5.5,6.1
"Caiabu",3508900,6.1,5.8
"Caieiras",3509007,6.2,6.1
"Caiuá",3509106,6.5,5.6
"Cajamar",3509205,5.8,5.8
"Cajati",3509254,6.2,5.4
"Cajobi",3509304,6.9,6.4
"Cajuru",3509403,5.8,6.4
"Campina do Monte Alegre",3509452,5.9,5.3
"Campinas",3509502,6.3,6.2
"Campo Limpo Paulista",3509601,5.8,5.9
"Campos do Jordão",3509700,6,5.8
"Campos Novos Paulista",3509809,5.3,5.3
"Cananéia",3509908,6,5.3
"Canas",3509957,6.4,5.2
"Cândido Mota",3510005,6.6,6.3
"Cândido Rodrigues",3510104,6.6,6.2
"Canitar",3510153,6.3,5.1
"Capão Bonito",3510203,6.6,6
"Capela do Alto",3510302,6.4,5.9
"Capivari",3510401,6.2,5.4
"Caraguatatuba",3510500,6.2,5.7
"Carapicuíba",3510609,5.9,5.8
"Cardoso",3510708,6.4,6.5
"Casa Branca",3510807,6.1,6.2
"Cássia dos Coqueiros",3510906,5.8,6.3
"Castilho",3511003,6.5,6
"Catanduva",3511102,6.9,6
"Catiguá",3511201,6,5.7
"Cedral",3511300,6.9,6.7
"Cerqueira César",3511409,6.2,6.1
"Cerquilho",3511508,7.1,6.6
"Cesário Lange",3511607,5.9,5.8
"Charqueada",3511706,6.5,6.1
"Clementina",3511904,7.2,6.1
"Colina",3512001,5.9,5.9
"Colômbia",3512100,6.4,6
"Conchal",3512209,6.1,6
"Conchas",3512308,5.9,5.9
"Cordeirópolis",3512407,6.3,6
"Coroados",3512506,6.2,6
"Coronel Macedo",3512605,5.6,5.7
"Corumbataí",3512704,5.7,5.6
"Cosmópolis",3512803,6.2,6.1
"Cosmorama",3512902,5.8,6.5
"Cotia",3513009,5.7,5.8
"Cravinhos",3513108,5.7,6
"Cristais Paulista",3513207,6.3,5.9
"Cruzália",3513306,0,6.3
"Cruzeiro",3513405,5.8,5.8
"Cubatão",3513504,5.8,5.4
"Cunha",3513603,5.6,5.7
"Descalvado",3513702,6.6,6.2
"Diadema",3513801,6.5,6
"Dirce Reis",3513850,0,5.4
"Divinolândia",3513900,6.1,6
"Dobrada",3514007,6.4,5.1
"Dois Córregos",3514106,6.6,6.5
"Dolcinópolis",3514205,7.1,7.5
"Dourado",3514304,6.3,6.1
"Dracena",3514403,6.7,6.3
"Duartina",3514502,7.1,6.5
"Dumont",3514601,8,6.5
"Echaporã",3514700,6.2,5.9
"Eldorado",3514809,5.6,5.5
"Elias Fausto",3514908,6.4,6.1
"Elisiário",3514924,7.4,6.2
"Embaúba",3514957,6.4,6.8
"Embu",3515004,6.2,5.6
"Embu-Guaçu",3515103,6.2,5.8
"Emilianópolis",3515129,5.7,4.9
"Engenheiro Coelho",3515152,5.4,5.5
"Espírito Santo do Pinhal",3515186,6.4,6.4
"Espírito Santo do Turvo",3515194,6.5,6.1
"Estrela d'Oeste",3515202,7,6.9
"Estrela do Norte",3515301,6.2,5.4
"Euclides da Cunha Paulista",3515350,5.6,5.3
"Fartura",3515400,7.3,6.9
"Fernandópolis",3515509,6.5,6.6
