"Localidade","IBGE","nota_2015","meta_2015"
"Buriti",2102200,4.3,4.1
"Buriti Bravo",2102309,5.1,3.9
"Buriticupu",2102325,4.1,4.6
"Buritirana",2102358,4.2,4.6
"Cachoeira Grande",2102374,4.5,3.5
"Cajapió",2102408,3.7,3.9
"Cajari",2102507,4.3,4.4
"Campestre do Maranhão",2102556,4.9,4.3
"Cândido Mendes",2102606,4.8,4.9
"Cantanhede",2102705,4.9,3.7
"Capinzal do Norte",2102754,4.2,4.1
"Carolina",2102804,4.9,4.3
"Carutapera",2102903,4.7,4.2
"Caxias",2103000,4.6,4.2
"Cedral",2103109,5,5
"Central do Maranhão",2103125,4,4.1
"Centro do Guilherme",2103158,3.5,4.1
"Centro Novo do Maranhão",2103174,4.1,4.8
"Chapadinha",2103208,4.2,4.3
"Cidelândia",2103257,4.3,4.4
"Codó",2103307,4,4.2
"Coelho Neto",2103406,4.2,4.3
"Colinas",2103505,4.4,4.6
"Conceição do Lago-Açu",2103554,3.5,3.7
"Coroatá",2103604,4.4,4.1
"Cururupu",2103703,4.6,4.7
"Davinópolis",2103752,4.1,4.2
"Dom Pedro",2103802,4.5,5
"Duque Bacelar",2103901,4,3.7
"Esperantinópolis",2104008,4.2,5.3
"Estreito",2104057,4.8,3.8
"Feira Nova do Maranhão",2104073,4,4
"Fernando Falcão",2104081,3.7,4.7
"Formosa da Serra Negra",2104099,4.9,3.7
"Fortaleza dos Nogueiras",2104107,4.7,4.1
"Fortuna",2104206,4.3,4.3
"Godofredo Viana",2104305,4.5,3.8
"Gonçalves Dias",2104404,4.1,4.8
"Governador Archer",2104503,4.2,4.3
"Governador Edison Lobão",2104552,4.3,4.6
"Governador Eugênio Barros",2104602,4.1,4.1
"Governador Luiz Rocha",2104628,3.7,3.7
"Governador Newton Bello",2104651,3.9,3.7
"Governador Nunes Freire",2104677,3.8,3.9
"Graça Aranha",2104701,4,3.9
"Grajaú",2104800,4.2,3.9
"Guimarães",2104909,4.4,4.2
"Humberto de Campos",2105005,4.3,4.1
"Icatu",2105104,4.2,3.5
"Igarapé do Meio",2105153,3.8,3.8
"Igarapé Grande",2105203,4,4.5
"Imperatriz",2105302,5,5
"Itaipava do Grajaú",2105351,3.9,3.9
"Itapecuru Mirim",2105401,4.3,4.5
"Itinga do Maranhão",2105427,4.8,5
"Jatobá",2105450,3.9,3.4
"Jenipapo dos Vieiras",2105476,4.2,3.6
"João Lisboa",2105500,4.4,4.2
"Joselândia",2105609,4.2,5
"Junco do Maranhão",2105658,5.4,3.9
"Lago da Pedra",2105708,4.5,4.5
"Lago do Junco",2105807,4.5,5.4
"Lago Verde",2105906,4.3,4.5
"Lagoa do Mato",2105922,5.8,4.2
"Lago dos Rodrigues",2105948,4.6,4.8
"Lagoa Grande do Maranhão",2105963,3.6,3.7
"Lajeado Novo",2105989,4.6,4
"Lima Campos",2106003,3.5,4.6
"Loreto",2106102,4.5,4.1
"Luís Domingues",2106201,3.9,3.6
"Magalhães de Almeida",2106300,4.1,4.4
"Maracaçumé",2106326,3.5,4.5
"Marajá do Sena",2106359,4.6,3.4
"Maranhãozinho",2106375,3.8,4.4
"Mata Roma",2106409,4.1,4.2
"Matinha",2106508,4,4.5
"Matões",2106607,3.7,3.9
"Matões do Norte",2106631,4.5,4.9
"Milagres do Maranhão",2106672,3.9,4.4
"Mirador",2106706,3.5,4
"Miranda do Norte",2106755,4.8,4
"Mirinzal",2106805,4.4,4.5
"Monção",2106904,3.8,4
"Montes Altos",2107001,3.9,4.7
"Morros",2107100,3.9,3.8
"Nina Rodrigues",2107209,4.3,4.3
"Nova Colinas",2107258,4.5,4.3
"Nova Iorque",2107308,0,3.8
"Nova Olinda do Maranhão",2107357,4.2,4.1
"Olho d'Água das Cunhãs",2107407,4,4.2
"Olinda Nova do Maranhão",2107456,4,4
"Paço do Lumiar",2107506,4.2,5.5
"Palmeirândia",2107605,4.8,4.4
"Paraibano",2107704,3.9,4.3
"Parnarama",2107803,4.3,3.9
"Passagem Franca",2107902,4.5,4.2
"Pastos Bons",2108009,4.5,5
"Paulino Neves",2108058,4.5,4.4
"Paulo Ramos",2108108,4.3,3.6
"Pedreiras",2108207,4.5,4.6
"Pedro do Rosário",2108256,4,4.2
"Penalva",2108306,4.2,4.5
"Peri Mirim",2108405,4.5,5.1
"Peritoró",2108454,3.7,3.8
"Pindaré-Mirim",2108504,3.9,4.3
"Pinheiro",2108603,5,4.6
"Pio XII",2108702,3.3,4.4
"Pirapemas",2108801,4.3,4
"Poção de Pedras",2108900,4.6,5.3
"Porto Franco",2109007,6,4.7
"Porto Rico do Maranhão",2109056,7.6,4.3
"Presidente Dutra",2109106,3.9,4.6
"Presidente Juscelino",2109205,4.6,4.2
"Presidente Médici",2109239,4,4.4
"Presidente Sarney",2109270,4,4.3
"Presidente Vargas",2109304,4,5
"Primeira Cruz",2109403,0,3.5
"Raposa",2109452,4.1,4.6
"Riachão",2109502,4.5,4.3
"Ribamar Fiquene",2109551,4.5,4.3
"Rosário",2109601,4.8,4.9
"Sambaíba",2109700,4.8,3.9
"Santa Filomena do Maranhão",2109759,4,3.9
"Santa Helena",2109809,4.2,3.9
"Santa Inês",2109908,4.1,4.4
"Santa Luzia",2110005,4,4.5
"Santa Luzia do Paruá",2110039,3.8,4.2
"Santa Quitéria do Maranhão",2110104,3.9,4.5
"Santa Rita",2110203,4.3,3.9
"Santana do Maranhão",2110237,4,4.6
"Santo Amaro do Maranhão",2110278,4,3.7
"Santo Antônio dos Lopes",2110302,4.3,4.2
"São Benedito do Rio Preto",2110401,4.1,3.7
"São Bento",2110500,4.5,5
"São Bernardo",2110609,4.8,3.7
"São Domingos do Azeitão",2110658,4,4
"São Domingos do Maranhão",2110708,4.4,4.6
"São Félix de Balsas",2110807,3.8,3.7
"São Francisco do Brejão",2110856,4,4.3
"São Francisco do Maranhão",2110906,3.7,3.5
"São João Batista",2111003,4,4.9
"São João do Carú",2111029,4.2,5
"São João do Paraíso",2111052,4.5,4.3
"São João do Soter",2111078,3.7,3.4
"São João dos Patos",2111102,5,4.4
"São José de Ribamar",2111201,4.7,5.2
"São José dos Basílios",2111250,3.9,4.1
"São Luís",2111300,4.6,5.1
"São Luís Gonzaga do Maranhão",2111409,4,3.8
"São Mateus do Maranhão",2111508,4.1,4
"São Pedro da Água Branca",2111532,4.3,4.1
"São Pedro dos Crentes",2111573,4.5,4.3
"São Raimundo das Mangabeiras",2111607,4.7,4.8
"São Raimundo do Doca Bezerra",2111631,4.1,4.2
"São Roberto",2111672,4.1,4.5
"São Vicente Ferrer",2111706,4,4.4
"Satubinha",2111722,3.6,4
"Senador Alexandre Costa",2111748,3.8,4.7
"Senador La Rocque",2111763,3.7,4.1
"Serrano do Maranhão",2111789,4.6,3.8
"Sítio Novo",2111805,4.6,3.8
"Sucupira do Norte",2111904,4.8,3.9
"Sucupira do Riachão",2111953,3.6,4.2
"Tasso Fragoso",2112001,4.2,3.9
"Timbiras",2112100,3.8,3.7
"Timon",2112209,4.5,4.7
"Trizidela do Vale",2112233,4.6,4.7
"Tufilândia",2112274,3.7,4
"Tuntum",2112308,4.5,4.5
"Turiaçu",2112407,4,3.9
"Turilândia",2112456,3.6,4
"Tutóia",2112506,4.4,4
"Urbano Santos",2112605,3.9,4
"Vargem Grande",2112704,4.2,4.1
"Viana",2112803,4.4,5.3
"Vila Nova dos Martírios",2112852,4.2,3.8
"Vitória do Mearim",2112902,4.4,4.6
"Vitorino Freire",2113009,4.2,3.9
"Zé Doca",2114007,4.1,4.1
"Acauã",2200053,5.1,4.2
